strategy_id,entry_standard,exit_standard,holding_policy,lifecycle_id,theme_guess,theme_confidence,entry_time,exit_time,is_open_trade,entry_stage,exit_stage,entry_reason,exit_reason,holding_days,return,max_drawdown_during_trade,max_favorable_excursion,missed_return_before_entry,coherence_at_entry,breadth_at_entry,volume_expansion_at_entry,rotation_in_score_at_entry,rotation_out_score_at_exit,entry_members,exit_members,member_count_at_entry,member_count_at_exit
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0007,"Members:AA,AAMI,AAOI",0.4749825438177432,2026-03-12,2026-03-13,False,birth,confirmation,Birth Entry; stage=birth; coherence=0.524; breadth=0.328; volume_expansion=1.678; rotation_in_score=0.222; cross_resolution_support=0.034,fixed_hold_1d,1,-0.014382525414259106,0.0,-0.014382525414259106,-0.0003189209382981,0.5239706132216945,0.3278688524590163,1.678295612335205,0.2218570835639185,-0.4024562982089543,"AA,AAMI,AAOI,AAON,AAP,AAPL,ABCL,ABX,ACB,ACLS,ACMR,ACNB,ACR,ACU,ADEA,ADM,ADTN,ADUS,AEC,AEHR,AEIS,AEM,AERO,AESI,AEVA,AEYE,AGBK,AGCO,AGI,AGMB,AGRO,AGX,AIN,AIP,AIR,AIRJ,AIRO,AIRS,AIT,AKAM,AKTS,ALAB,ALB,ALGM,ALGT,ALK,ALKT,ALMS,ALMU,ALNT,ALOY,ALRS,ALTG,ALVO,AMAT,AMBA,AMD,AMKR,AMP,AMPG,QQQ","AA,AAL,AAON,AAP,ABAT,ABM,ACB,ACHR,ACMR,ACNB,ACTG,ACU,AD,ADEA,ADI,ADM,ADPT,ADTN,ADUR,AEHR,AEIS,AEVA,AGBK,AGCO,AGL,AGMB,AGPU,AGRO,AGX,AGYS,AI,AII,AIP,AIR,AIRJ,AIRO,AIT,AKTS,ALAB,ALB,ALGM,ALGT,ALHC,ALK,ALKT,ALMU,ALNT,ALRS,AMAT,AMCR,AMD,AMPG,QQQ",61,53
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0023,"Members:AA,AAMI,ABAT",0.4718367791161366,2026-03-13,2026-03-16,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.579; breadth=0.500; volume_expansion=-0.520; rotation_in_score=0.337; cross_resolution_support=0.017,lifecycle_missing,1,0.022593578451093776,0.0,0.022593578451093776,0.0032142242416739,0.5789335663682722,0.5,-0.5196702480316162,0.336565518058055,,"AA,AAMI,ABAT,ABCL,ABEV,ABSI,ACB,ACET,ACHR,ACMR,ADEA,ADPT,ADUR,AEIS,AEYE,AFRM,AFYA,AGBK,AGEN,AGYS,AHCO,AHR,AIOT,AKTS,ALAB,ALGM,ALH,ALHC,ALKT,ALLT,ALMS,AMAT,AMBA,AMKR,AMPG,QQQ","AA,AAMI,ABAT,ABCL,ABEV,ABSI,ACB,ACET,ACHR,ACMR,ADEA,ADPT,ADUR,AEIS,AEYE,AFRM,AFYA,AGBK,AGEN,AGYS,AHCO,AHR,AIOT,AKTS,ALAB,ALGM,ALH,ALHC,ALKT,ALLT,ALMS,AMAT,AMBA,AMKR,AMPG,QQQ",36,36
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0035,"Members:ABAT,ABEO,ABEV",0.4417740311978516,2026-03-13,2026-03-16,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.572; breadth=0.306; volume_expansion=-0.091; rotation_in_score=-0.256; cross_resolution_support=0.013,lifecycle_missing,1,0.02159000810903433,0.0,0.02159000810903433,4.3543903302634135e-05,0.5722035706757072,0.3055555555555556,-0.0909875482320785,-0.2557487789556226,,"ABAT,ABEO,ABEV,ABVX,ACAD,ACET,ACHR,ACNB,ACRS,ACVA,AD,ADAG,ADM,ADMA,ADPT,ADUR,ADV,AEHR,AEVA,AEYE,AFRM,AFYA,AGEN,AHCO,AHR,AI,AIOT,AIP,AIRJ,AIRO,AKAM,ALKS,ALMU,AMAT,AMKR,AMPG","ABAT,ABEO,ABEV,ABVX,ACAD,ACET,ACHR,ACNB,ACRS,ACVA,AD,ADAG,ADM,ADMA,ADPT,ADUR,ADV,AEHR,AEVA,AEYE,AFRM,AFYA,AGEN,AHCO,AHR,AI,AIOT,AIP,AIRJ,AIRO,AKAM,ALKS,ALMU,AMAT,AMKR,AMPG",36,36
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0060,"Members:AAMI,ABCL,ACHV",0.3841363882482367,2026-03-16,2026-03-17,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.593; breadth=0.167; volume_expansion=-0.035; rotation_in_score=0.397; cross_resolution_support=0.006,lifecycle_missing,1,0.012963690736919942,0.0,0.012963690736919942,0.0001615284418221,0.5932636822972979,0.1666666666666666,-0.0345970876514911,0.3969634932035513,,"AAMI,ABCL,ACHV,ADAM,AIT,ALGT,ALK,ALLE,ALLT,ALSN,AME,AMP","AAMI,ABCL,ACHV,ADAM,AIT,ALGT,ALK,ALLE,ALLT,ALSN,AME,AMP",12,12
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0077,"Members:ACHC,ACMR,ACNT",0.3270319545312918,2026-03-17,2026-03-18,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.524; breadth=0.300; volume_expansion=-0.609; rotation_in_score=-0.040; cross_resolution_support=0.008,lifecycle_missing,1,-0.014085128471134856,0.0,-0.014085128471134856,-0.0021373904310166,0.5242135485877162,0.3,-0.609401524066925,-0.0396801212379806,,"ACHC,ACMR,ACNT,ADAM,ADNT,AFCG,AGPU,AGRO,ALB,AMPH","ACHC,ACMR,ACNT,ADAM,ADNT,AFCG,AGPU,AGRO,ALB,AMPH",10,10
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0119,"Members:ABUS,ACGL,ACI",0.39443941563815954,2026-03-18,2026-03-19,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.491; breadth=0.129; volume_expansion=1.780; rotation_in_score=-0.000; cross_resolution_support=0.019,lifecycle_missing,1,-0.0050081822085710215,0.0,-0.0050081822085710215,-0.003576275659725,0.4913666661957214,0.1290322580645161,1.7799865007400513,-0.0001840167643684,,"ABUS,ACGL,ACI,ACRE,ACRS,ADC,ADM,ADSE,ADUS,AEE,AEP,AERO,AES,AFG,AFL,AGCC,AGNC,AGO,AHR,AIG,AIRG,AIV,AIZ,AKR,ALG,ALL,ALTG,AM,AMCR,AMH,AMPH","ABUS,ACGL,ACI,ACRE,ACRS,ADC,ADM,ADSE,ADUS,AEE,AEP,AERO,AES,AFG,AFL,AGCC,AGNC,AGO,AHR,AIG,AIRG,AIV,AIZ,AKR,ALG,ALL,ALTG,AM,AMCR,AMH,AMPH",31,31
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0138,"Members:AAL,AAPG,AAT",0.3797321693540498,2026-03-20,2026-03-23,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.540; breadth=0.105; volume_expansion=0.214; rotation_in_score=-0.645; cross_resolution_support=0.005,lifecycle_missing,1,0.021975573539685156,0.0,0.021975573539685156,0.0008523872238583,0.5397597834712169,0.1052631578947368,0.2144473046064376,-0.6449158747509555,,"AAL,AAPG,AAT,ABAT,ABEO,ACHC,ACHR,ACHV,ACR,AEVA,AGEN,AIRJ,AKTS,ALC,ALGN,ALH,ALMS,AMBA,QQQ","AAL,AAPG,AAT,ABAT,ABEO,ACHC,ACHR,ACHV,ACR,AEVA,AGEN,AIRJ,AKTS,ALC,ALGN,ALH,ALMS,AMBA,QQQ",19,19
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0175,"Members:AAMI,AAON,ABUS",0.4011832125593227,2026-03-23,2026-03-24,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.614; breadth=0.312; volume_expansion=0.591; rotation_in_score=1.131; cross_resolution_support=0.008,lifecycle_missing,1,-0.010333462250264547,0.0,-0.010333462250264547,0.0003967407101299,0.614496504773899,0.3125,0.5907732844352722,1.1307389878926266,,"AAMI,AAON,ABUS,ACAD,ACEL,ACIC,ACM,ACT,ADMA,AFRI,AHR,AII,AKAM,ALNY,ALTG,AMPH","AAMI,AAON,ABUS,ACAD,ACEL,ACIC,ACM,ACT,ADMA,AFRI,AHR,AII,AKAM,ALNY,ALTG,AMPH",16,16
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0177,"Members:AAMI,AAON,AAP",0.4883149028295522,2026-03-23,2026-03-24,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.726; breadth=0.696; volume_expansion=1.088; rotation_in_score=0.243; cross_resolution_support=0.016,lifecycle_missing,1,0.019266071115283667,0.0,0.019266071115283667,0.0005715089500881,0.7255502424193817,0.6956521739130435,1.0882951021194458,0.2432891171450345,,"AAMI,AAON,AAP,ABUS,ACEL,ACLS,ACMR,ADEA,AEIS,AEO,AFRM,AGCO,AGI,AHCO,AKTS,ALB,ALGN,ALH,ALNT,ALSN,ALTG,AMBA,AMBQ","AAMI,AAON,AAP,ABUS,ACEL,ACLS,ACMR,ADEA,AEIS,AEO,AFRM,AGCO,AGI,AHCO,AKTS,ALB,ALGN,ALH,ALNT,ALSN,ALTG,AMBA,AMBQ",23,23
E1_X1_H1,Birth Entry,No Signal Exit,Fixed 1D,L0189,"Members:ABM,ABNB,ABSI",0.3771503378744421,2026-03-24,2026-03-25,False,birth,end_of_sample,Birth Entry; stage=birth; coherence=0.543; breadth=0.682; volume_expansion=-0.760; rotation_in_score=-0.157; cross_resolution_support=0.009,lifecycle_missing,1,0.012745961570051145,0.0,0.012745961570051145,0.0012538760202005,0.54314060990627,0.6818181818181818,-0.7595409750938416,-0.1572220596426712,,"ABM,ABNB,ABSI,ACB,ACCO,ADAM,AEBI,AEG,AGCO,AGNC,AIN,AKTS,ALB,ALC,ALCO,ALG,ALGT,ALH,ALK,ALNY,AMCI,AME","ABM,ABNB,ABSI,ACB,ACCO,ADAM,AEBI,AEG,AGCO,AGNC,AIN,AKTS,ALB,ALC,ALCO,ALG,ALGT,ALH,ALK,ALNY,AMCI,AME",22,22
