timestamp,source_lifecycle_id,target_lifecycle_id,source_decay_score,target_expansion_score,migrated_members,rewired_edges,relative_strength_switch,flow_score,cross_resolution_confirmation,rotation_confidence,source_stage,target_stage,source_members,target_members,migrated_symbols,rewired_edge_pairs
2026-03-13 14:15:00+00:00,L0025,L0022,0.973920638643022,0.2610734005972085,2,14,0.0015409503830596,2.9525165328865315,0.0154205607476635,1.1109404291058516,confirmation,expansion,"ABG,ABSI,ACB,ACNT,ACU,ADAM,ADSE,ADV,AEBI,AENT,AFRM,AIOT,AIRO,ALAB,ALH,ALRM,ALVO,AMLX","AAL,AAP,AAPG,ABCB,ABEO,ABM,ABNB,ACAD,ACHR,ACHV,ACM,ACN,ACOG,ACVA,ADAG,ADMA,ADNT,ADT,AEHR,AEO,AEVA,AFJK,AGCC,AGL,AGM,AGRO,AI,AII,AIN,AIRJ,AIRS,AKAM,AKR,ALGT,ALK,ALLY,ALRS,ALSN,AMCR,AMG,AMN,AMP",ABG;AIRO,ABG-AGM;ABG-AII;ABG-AMCR;ABSI-ACHR;ACHV-ADAM;ACHV-AENT;ACHV-AIRO;ACM-AFRM;ACU-ADT;ADSE-AMCR;AEBI-ALLY;AEBI-ALRS;AFRM-AGM;AIOT-AIRJ
2026-03-13 14:15:00+00:00,L0025,L0016,0.973920638643022,0.4137092540201722,0,8,0.00016090774443,2.19901084483708,0.017391304347826,0.9686503746604024,confirmation,maturity,"ABG,ABSI,ACB,ACNT,ACU,ADAM,ADSE,ADV,AEBI,AENT,AFRM,AIOT,AIRO,ALAB,ALH,ALRM,ALVO,AMLX","AAOI,AAPL,AAUC,ABR,ABX,ACDC,ACLS,ACR,ACRE,ADBE,ADUS,AEC,AEM,AERO,AESI,AEXA,AFCG,AG,AGI,AGIO,AGPU,AHRT,AIRG,ALAR,ALC,ALCO,ALLE,ALM,ALNY,ALOT,ALOY,ALTO,ALV,AMAL,AMBP,AMCI,AMH,AMPH",,AAPL-AMLX;ACU-ALOT;ADAM-AHRT;AEBI-AHRT;AERO-ALVO;AEXA-ALVO;AFRM-AGIO;AIRG-ALH
2026-03-13 14:30:00+00:00,L0027,L0028,0.4071774243558196,0.5453853762174419,0,17,-0.0024126124335452,2.8903717578961645,0.008,1.0095617796460197,expansion,confirmation,"AA,AAMI,ABAT,ABCL,ABEV,ABSI,ABVX,ACB,ACET,ACHR,ACMR,ACNB,ACTG,AD,ADEA,ADI,ADM,ADPT,ADTN,ADUR,ADV,AEIS,AEYE,AFJK,AFYA,AGBK,AGEN,AGRO,AHCO,AHR,AKTS,ALAB,ALGM,ALHC,ALKT,ALLT,ALMS,ALMU,AMAT,AMBA,AMCR,AMKR,AMPG,QQQ","AAON,ABBV,ACA,AGCO,AGMB,AGX,AIR,AIT,ALB,ALG,ALNT,ALSN,AMD,AME",,AAON-ACMR;AAON-ALAB;ABAT-ALB;ABVX-AGX;ACHR-AGMB;ACHR-AGX;ADI-AGCO;ADI-ALG;ADI-AME;ADM-AMD;ADTN-AIR;ADUR-AGMB;AEIS-AIR;AIT-ALMU;ALB-ALHC;ALGM-ALSN;AMAT-AMD
2026-03-13 14:45:00+00:00,L0029,L0027,0.7066265256071403,0.6513444715133506,4,50,0.0010096314363181,4.079247221125822,0.0293478260869565,1.4316052783306463,confirmation,expansion,"AARD,AAT,ABBV,ABM,ABR,ABT,ACAD,ACEL,ACHV,ACIW,ACN,ACRE,ACRS,ACU,ACVA,ADAM,ADEA,ADMA,ADP,ADSE,ADSK,ADT,ADV,AFRM,AGIO,AGL,AGNC,AGYS,AHRT,AI,AIRO,AJG,ALGN,ALH,ALKS,ALRM,AMCX,AME,AMGN,AMLX","AA,AAMI,AAON,ABAT,ABCB,ABCL,ABEV,ABSI,ABVX,ACB,ACET,ACHR,ACMR,ACNB,ACTG,AD,ADI,ADM,ADPT,ADTN,ADUR,AEHR,AEIS,AEVA,AEYE,AFYA,AGBK,AGEN,AGMB,AGRO,AGX,AHCO,AHR,AIOT,AIP,AIR,AIT,AKTS,ALAB,ALG,ALGM,ALHC,ALKT,ALLT,ALMS,ALMU,AMAT,AMBA,AMBQ,AMD,AMKR,AMPG,QQQ",ADAM;ADEA;AI;AIRO,AA-AIRO;AAMI-AHRT;AARD-ABCB;AARD-ALKT;ABCB-ACVA;ABCB-AGYS;ABCL-ACAD;ABSI-ACVA;ABSI-ADAM;ABSI-ADEA;ABSI-AMLX;ACB-ACEL;ACB-AGNC;ACB-AGYS;ACB-AMGN;ACHV-AIT;ACHV-ALMU;ACN-AHCO;ACRS-AEHR;ACRS-AHR;ACTG-AMCX;ADAM-AEIS;ADAM-ALGM;ADAM-QQQ;ADEA-AEHR;ADEA-AEVA;ADEA-AIP;ADEA-ALGM;ADEA-AMBA;ADEA-AMPG;ADMA-AEHR;ADPT-ALKS;ADSK-ALMS;ADTN-AFRM;ADTN-ALGN;ADV-AEIS;AEHR-AI;AFRM-AHCO;AFRM-AIP;AFRM-AKTS;AFRM-ALKT;AGBK-AGNC;AGBK-AGYS;AI-AIOT;AI-AMBQ;AI-QQQ;AIR-AME;AIRO-ALGM;ALAB-AMLX;ALGM-AME
2026-03-13 15:00:00+00:00,L0030,L0027,0.5398137515471703,0.8938375916744934,0,10,0.0080477881710976,2.468504433988357,0.0311475409836065,1.0518936426111294,maturity,maturity,"ACGL,ACI,ACT,ADC,AEC,AEE,AENT,AEP,AER,AES,AFG,AFL,AFRI,AGM,AGO,AIG,AIV,AIZ,AKO-B,ALG,ALL,ALVO,AM","AA,AAON,ABAT,ABCL,ABEV,ABSI,ABVX,ACET,ACHR,ACMR,ACNB,AD,ADAG,ADAM,ADEA,ADM,ADPT,ADTN,ADUR,AEHR,AEIS,AEVA,AEYE,AFYA,AGBK,AGEN,AGMB,AGX,AHCO,AHR,AI,AIOT,AIP,AIR,AIRO,AIT,AKAM,AKTS,ALAB,ALGM,ALHC,ALKT,ALLT,ALMS,ALMU,AMAT,AMBA,AMBQ,AMD,AMKR,AMPG,QQQ",,ACT-ADM;ACT-AEHR;ADAG-AFG;AEC-AGMB;AEC-AIT;AEE-AKTS;AER-AMKR;AGMB-ALL;AIT-ALG;AM-AMPG
2026-03-13 15:15:00+00:00,L0027,L0022,0.7750606315994172,0.1844341571083516,0,10,0.0038999973330646,2.4327357540443817,0.0142180094786729,0.898165076545227,decay,expansion,"AARD,ABCL,ABEV,ABSI,ABVX,ACAD,ACET,ACHR,ACRS,ACVA,ADAG,ADAM,ADEA,ADMA,ADPT,ADTN,ADUR,ADV,AEHR,AEVA,AEYE,AFRM,AFYA,AGEN,AGL,AHCO,AHR,AI,AIOT,AIP,AIRO,AKAM,AKTS,ALAB,ALKT,ALLT,ALMS,ALMU,AMAT,AMBQ,AMKR,AMLX,AMPG,QQQ","A,AAL,AAP,AAPG,ABCB,ABEO,ABG,ABM,ABNB,ACM,ACOG,ADNT,ADSE,AEBI,AEG,AEO,AFJK,AGBK,AGCC,AGM,AGRO,AII,AIN,AIRJ,AKR,ALGN,ALGT,ALK,ALKS,ALLY,ALRS,ALSN,AMG,AMN,AMP",,A-AIP;A-AIRO;ABEO-AI;ABVX-AGRO;ACM-ADTN;ACM-AIOT;ADMA-AFJK;ADPT-ALKS;AEG-QQQ;AGRO-AIP
2026-03-13 15:30:00+00:00,L0030,L0016,0.6243063584807764,0.0912958807636107,3,2,-0.0017706933431327,2.19722457733622,0.0181818181818181,0.7667140888346438,expansion,maturity,"ACGL,ACI,ACIC,ACT,ADC,AEC,AEE,AEG,AENT,AEP,AER,AES,AFG,AFL,AFRI,AFRM,AGM,AGO,AIG,AIV,AIZ,AKO-B,AKR,ALL,ALLE,ALVO,AM","AAOI,AAUC,ABUS,ABX,ACDC,ACLS,ACR,ADBE,AEM,AERO,AESI,AEXA,AFCG,AG,AGI,AGIO,AGPU,AIRG,ALAR,ALB,ALC,ALCO,ALM,ALNT,ALNY,ALOT,ALOY,ALTO,AMAL,AMBP,AMCI,AMPH",AENT;AKO-B;ALVO,AES-ALOT;AFRI-ALNT
2026-03-13 15:30:00+00:00,L0027,L0016,0.6004838434691101,0.0912958807636107,0,2,0.0013093899469822,1.1413329578677105,0.0181818181818181,0.4955944294640166,expansion,maturity,"ABAT,ABCL,ABEV,ABSI,ABVX,ACAD,ACB,ACET,ACHR,ACM,ACMR,ACRS,ACU,ACVA,ADAG,ADEA,ADMA,ADPT,ADTN,ADUR,ADV,AEHR,AEIS,AEVA,AEYE,AFYA,AGEN,AGL,AHCO,AHR,AI,AIOT,AIP,AIRO,AKAM,AKTS,ALAB,ALGM,ALKS,ALKT,ALLT,ALMS,ALMU,AMAT,AMBA,AMBQ,AMKR,AMLX,AMPG,QQQ","AAOI,AAUC,ABUS,ABX,ACDC,ACLS,ACR,ADBE,AEM,AERO,AESI,AEXA,AFCG,AG,AGI,AGIO,AGPU,AIRG,ALAR,ALB,ALC,ALCO,ALM,ALNT,ALNY,ALOT,ALOY,ALTO,AMAL,AMBP,AMCI,AMPH",,ABUS-AKTS;ACVA-AGPU
2026-03-13 15:45:00+00:00,L0031,L0016,0.6576004607358388,0.1909122037665456,0,11,-0.000649589463137,2.4849066497880004,0.0175182481751824,0.8784081990239928,maturity,expansion,"AA,AAMI,AAON,ACA,ACNB,ACT,AD,ADI,ADM,ADUS,AEC,AGCO,AGMB,AGX,AIR,AIT,ALB,ALG,ALHC,ALLE,ALNT,ALTG,ALV,ALX,AMD,AMH","AAOI,AAPL,AAUC,ABUS,ABX,ACCO,ACDC,ACLS,ACNT,ACR,ADBE,AEM,AENT,AERO,AESI,AEXA,AFCG,AG,AGI,AGIO,AGPU,AIRG,AIRS,AKO-B,ALAR,ALC,ALCO,ALM,ALNY,ALOY,ALTO,ALVO,AMAL,AMBP,AMCI,AMCX,AMPH",,ACA-AKO-B;ACA-ALM;ACA-ALTO;ACR-AGMB;ACT-AMCX;AEC-AIRG;AEC-AMCI;AFCG-ALG;AGMB-AIRG;AGX-AIRG;ALTG-AMAL
2026-03-13 15:45:00+00:00,L0029,L0016,0.3656501476810663,0.1909122037665456,0,7,0.0018248101696372,2.1019954074349583,0.0175182481751824,0.6950952945193005,expansion,expansion,"AARD,AAT,ABBV,ABM,ABR,ABT,ACAD,ACEL,ACIW,ACN,ACRE,ACTG,ACVA,ADAG,ADAM,ADEA,ADMA,ADP,ADSK,ADT,AEHR,AFRM,AGL,AGNC,AGYS,AHRT,AI,AIG,AJG,AKAM,ALGN,ALH,ALRM,AMGN","AAOI,AAPL,AAUC,ABUS,ABX,ACCO,ACDC,ACLS,ACNT,ACR,ADBE,AEM,AENT,AERO,AESI,AEXA,AFCG,AG,AGI,AGIO,AGPU,AIRG,AIRS,AKO-B,ALAR,ALC,ALCO,ALM,ALNY,ALOY,ALTO,ALVO,AMAL,AMBP,AMCI,AMCX,AMPH",,ABM-AEXA;ABR-ALOY;ABR-AMAL;ABT-ACCO;ADP-ALTO;AHRT-AMAL;AJG-ALTO
