snapshot_id,timestamp,community_id,lifecycle_id,stage,member_count,age,avg_log_return,relative_return,volume_expansion,breadth,coherence,avg_community_confidence,member_inflow,member_outflow,future_member_outflow,edge_birth_count,edge_birth_rate,future_edge_birth_count,future_edge_birth_rate,edge_death_count,edge_death_rate,future_edge_death_count,future_edge_death_rate,cross_resolution_support,members,internal_edge_count,member_count_delta,breadth_delta,coherence_delta,relative_return_delta,internal_edge_count_delta,observed_member_outflow,observed_edge_birth_count,observed_edge_death_count,observed_edge_birth_rate,observed_edge_death_rate,observable_stage,rotation_in_score,rotation_out_score,causal_rotation_in_score,causal_rotation_out_score
snapshot_0000,2026-03-12 19:45:00+00:00,3,L0004,birth,32,1,-0.0016876131994649,-1.6354068065993488e-05,1.707126259803772,0.4375,0.4395135859916876,0.5436718463897705,32,32,32,23,0.0463709677419354,23,0.0463709677419354,43,0.3873873873873873,43,0.3873873873873873,0.0115662650602409,"A,AAL,AAT,ABNB,ACET,ACHV,ACN,ACRS,ACVA,ADAG,ADBE,ADP,ADSK,ADT,AEG,AEO,AER,AFYA,AGCC,AGEN,AGM,AGO,AGPU,AHRT,AII,AIV,ALC,ALLY,AMCI,AMCX,AMH,AMN",111,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.0551587130415353,0.5575145663148633,-0.1003847030802264,0.1509739595002125
snapshot_0000,2026-03-12 19:45:00+00:00,4,L0005,birth,29,1,-0.0006047344650141,0.0011204364709556,1.872543811798096,0.5862068965517241,0.4887965512725542,0.5195360779762268,29,29,29,17,0.041871921182266,17,0.041871921182266,38,0.3584905660377358,38,0.3584905660377358,0.0061068702290076,"ABAT,ABEO,ABM,ABR,ABSI,ABUS,ACAD,ACHR,ACRE,ADAM,ADI,ADPT,ADUR,AEBI,AFRM,AG,AGIO,AGNC,AI,AIOT,ALH,ALHC,ALLT,ALM,ALV,AMBP,AMCR,AME,AMLX",106,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,0.2283880476063678,0.2515166716246533,0.2620822326021461,0.013337807528154
snapshot_0000,2026-03-12 19:45:00+00:00,5,L0006,birth,46,1,-0.0016030583065003,0.0001221124985022,1.6678860187530518,0.2608695652173913,0.4555280510750081,0.6969919800758362,46,13,13,41,0.0396135265700483,41,0.0396135265700483,61,0.2824074074074074,61,0.2824074074074074,0.0183783783783783,"AARD,AAUC,ABBV,ABEV,ABG,ABT,ACA,ACDC,ACEL,ACGL,ACHC,ACI,ACIC,ACM,ACOG,AD,ADC,ADMA,AEE,AENT,AEP,AES,AEXA,AFG,AFJK,AFL,AHCO,AHR,AIG,AIRG,AIZ,AJG,AKR,ALCO,ALGN,ALKS,ALL,ALLE,ALNY,ALOT,ALSN,ALTO,ALX,AM,AMBQ,AMGN",216,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.1217099748863239,-0.254593269589242,-0.120382789383856,0.1342092128340077
snapshot_0000,2026-03-12 19:45:00+00:00,6,L0007,birth,61,1,-0.0020440914668142,-0.0003189209382981,1.678295612335205,0.3278688524590163,0.5239706132216945,0.7691690921783447,61,24,24,107,0.0584699453551912,107,0.0584699453551912,136,0.3588390501319261,136,0.3588390501319261,0.0337801608579088,"AA,AAMI,AAOI,AAON,AAP,AAPL,ABCL,ABX,ACB,ACLS,ACMR,ACNB,ACR,ACU,ADEA,ADM,ADTN,ADUS,AEC,AEHR,AEIS,AEM,AERO,AESI,AEVA,AEYE,AGBK,AGCO,AGI,AGMB,AGRO,AGX,AIN,AIP,AIR,AIRJ,AIRO,AIRS,AIT,AKAM,AKTS,ALAB,ALB,ALGM,ALGT,ALK,ALKT,ALMS,ALMU,ALNT,ALOY,ALRS,ALTG,ALVO,AMAT,AMBA,AMD,AMKR,AMP,AMPG,QQQ",379,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,0.2218570835639185,0.3136195300262544,-0.071721149668841,0.1876070403567956
snapshot_0000,2026-03-12 19:45:00+00:00,10,L0011,birth,21,1,0.0037670005112886,0.0052457191050052,1.499152898788452,0.5714285714285714,0.4125832196857248,0.4477071166038513,21,21,21,4,0.019047619047619,4,0.019047619047619,13,0.2321428571428571,13,0.2321428571428571,0.0055813953488372,"ABCB,ABVX,ACCO,ACIW,ACNT,ACT,ACTG,ADNT,ADSE,ADV,AFCG,AFRI,AGL,AGYS,AKO-B,ALAR,ALG,ALRM,AMAL,AMG,AMPH",56,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.2733764432424267,-0.8680574983765293,0.0304064095307782,-0.48612802021917
snapshot_0001,2026-03-13 13:30:00+00:00,2,L0006,confirmation,51,2,0.0150709934532642,0.0064245625399053,-0.2513670325279236,0.9607843137254902,0.5164189307616024,0.7070668339729309,18,51,51,23,0.0180392156862745,23,0.0180392156862745,110,0.4247104247104247,110,0.4247104247104247,0.0160142348754448,"A,AARD,ABBV,ABCB,ABEV,ABG,ABT,ACA,ACCO,ACEL,ACET,ACGL,ACI,ACM,ACRS,ADAG,ADC,ADMA,ADP,ADSK,AEE,AEP,AER,AES,AEXA,AFG,AFL,AFYA,AGEN,AGM,AHCO,AHR,AIG,AIRG,AIZ,AJG,AKAM,ALGN,ALKS,ALL,ALLE,ALMS,ALSN,ALV,ALVO,ALX,AM,AMBQ,AMGN,AMH,AMKR",259,5.0,0.699914748508099,0.0608908796865942,0.006302450041403,43.0,0.0,43.0,0.0,0.0337254901960784,0.0,expansion,0.3639335676029013,-0.287240487763827,0.8879836364165153,-1.0356181702589904
snapshot_0001,2026-03-13 13:30:00+00:00,5,L0007,confirmation,53,2,0.0179805941879749,0.0091612348333001,-0.113024316728115,0.981132075471698,0.5641197433167158,0.7063140273094177,16,53,53,47,0.0341074020319303,47,0.0341074020319303,109,0.3395638629283489,109,0.3395638629283489,0.0276422764227642,"AA,AAL,AAON,AAP,ABAT,ABM,ACB,ACHR,ACMR,ACNB,ACTG,ACU,AD,ADEA,ADI,ADM,ADPT,ADTN,ADUR,AEHR,AEIS,AEVA,AGBK,AGCO,AGL,AGMB,AGPU,AGRO,AGX,AGYS,AI,AII,AIP,AIR,AIRJ,AIRO,AIT,AKTS,ALAB,ALB,ALGM,ALGT,ALHC,ALK,ALKT,ALMU,ALNT,ALRS,AMAT,AMCR,AMD,AMPG,QQQ",321,-8.0,0.6532632230126818,0.0401491300950213,0.0094801557715982,-58.0,8.0,0.0,58.0,0.0,0.0420899854862119,expansion,0.769648772293275,-0.4024562982089543,0.3121285357824338,0.0928495069863637
snapshot_0001,2026-03-13 13:30:00+00:00,4,L0016,birth,39,1,-0.0125804860144853,-0.0204952992498874,0.1437244713306427,0.1282051282051282,0.4388494632401309,0.731535017490387,39,8,8,39,0.0526315789473684,39,0.0526315789473684,44,0.2417582417582417,44,0.2417582417582417,0.0172661870503597,"AAOI,AAPL,AAUC,ABUS,ABX,ACDC,ACHC,ACIC,ACLS,ACNT,ACR,ADBE,AEBI,AEC,AEM,AENT,AERO,AESI,AFCG,AFJK,AG,AGI,AGIO,AIRS,AKO-B,ALAR,ALC,ALCO,ALG,ALM,ALNY,ALOT,ALOY,ALTG,ALTO,AMAL,AMBP,AMCI,AMPH",182,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.0010395960208592,0.2664971725306998,-0.3122005873326386,0.6843025995527855
snapshot_0001,2026-03-13 13:30:00+00:00,11,L0017,birth,28,1,0.0075535154901444,-0.0009508655639365,-0.3493966460227966,0.8928571428571429,0.458707066377004,0.4969655871391296,28,28,28,8,0.0211640211640211,8,0.0211640211640211,29,0.3222222222222222,29,0.3222222222222222,0.0072144288577154,"AAMI,AAT,ABEO,ABR,ABVX,ACAD,ACHV,ACRE,ACT,ACVA,ADAM,ADSE,ADT,ADUS,AEG,AEO,AGCC,AGNC,AGO,AHRT,AIN,AIV,AKR,ALLY,AMCX,AME,AMLX,AMN",90,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.7435984188000558,0.2600194123019628,-0.6242831630321914,0.261086382080845
snapshot_0001,2026-03-13 13:30:00+00:00,14,L0018,birth,18,1,0.0195566955953836,0.0112273022532463,-0.2324731349945068,0.9444444444444444,0.5182756708379377,0.4304307103157043,18,18,18,3,0.0196078431372549,3,0.0196078431372549,23,0.4035087719298245,23,0.4035087719298245,0.0089330024813895,"ABCL,ABNB,ABSI,ACIW,ACN,ACOG,ADNT,ADV,AEYE,AFRI,AFRM,AIOT,ALH,ALLT,ALRM,AMBA,AMG,AMP",57,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,birth,-0.388944325075261,0.1631802011401194,-0.2636284218341194,-0.0026203183610037
